@Username,Tweet,Lokasi
rmol_id,"Jadi Capres Alternatif Paling Diminati Publik, Ridwan Kamil Tinggalkan Sandiaga Uno dan AHY https://t.co/XSbHBej9Xv",Indonesia
pikiran_rakyat,"Sandiaga Uno Desak 'Harpitnas' Jadi Libur Nasional: Paling Tidak 2 Kali untuk Tahun Ini
.
Selengkapnya di https://t.co/QQFbLGhHYS

#PikiranRakyat #PRMN #Menparekraf #harpitnas https://t.co/JputOpPWGn",Indonesia
india_narrative,"To celebrate the #IYM2023 @IndianEmbJkt organized a 'Healthy Indonesian cuisine with Millets' competition on 20th February at Embassy 

Indian Ambassador Manoj K Bharti and Minister of Tourism and Creative Economy, Indonesia, Sandiaga Uno graced the event and distributed prizes https://t.co/3te9WtZvWH",Delhi
pinbross11,"@datuakrajoangek HUTANGnya pak SANDIAGA UNO Rp 50 Triliun gimana tuh? 
Dimana mana hutang kampanye akan menjadikan calon Korupsi baru di depan mata.",
PinBross5,"HUTANGnya pak SANDIAGA UNO Rp 50 Triliun gimana tuh? 
Dimana mana hutang kampanye akan menjadikan calon Korupsi baru di depan mata.

https://t.co/8aNrzfNYBx",
PostingnewsId,"Isu Sandiaga Uno Gabung PPP, Pengamat Sarankan Jangan Berlebihan: 'Dia Tunduk Pada Partai Gerindra' https://t.co/EamIerF0NT",
Ahmad_hendars,"1. Ganjar Pranowo: 25,3 persen
 2. Prabowo memperoleh: 18,1 persen
 3. Anies Baswedan: 13,1 persen 
4. Ridwan Kamil: 8,4 persen 5. Sandiaga Uno: 1,6 persen 6. Andika Perkasa: 1,6 persen 7. Agus Harimurti Yudhoyono: 1,3 persen 8. Tri Rismaharini: 1 persen

https://t.co/SvZ6qHjPY3","Bogor, Jawa Barat"
madubandung1,"@sindai_salie Perlu istigfar Anies B, sudah berhutang ke Sandiaga Uno &amp; berhianat Ke Pa. Prabowo. Masa lebih senang berpelukan sama yg bening ?",Bandung Barat Indonesia
imediacyber,"Sandiaga Uno: Selamat Merayakan 42 Tahun BKMT
https://t.co/B2NkbGg1Ax","DKI Jakarta, Indonesia"
glueeestick,@Shikickkk Sandiaga uno,kevv's heart
detikcom,"Mitos-mitos Gunung Kerinci, tempat jatuhnya helikopter Kapolda Jambi Irjen Rusdi Hartono dan cerita bangkrutnya maskapai besutan Sandiaga Uno menjadi perhatian. Berikut deretan mitosnya! https://t.co/zpBJyfRPN2","Jakarta, Indonesia"
tono14045,"Sandiaga Uno Janji Teruskan Aspirasi Rakyat &amp; Petinggi Gerindra Optimis Banten Tetap Jadi Lumbung Prabowo
#KitaGerindra #IkutPakde Prabowo Subianto https://t.co/0VPUTUEgpI",
vivagorontalo,"Anies dan Sandi Diprediksi Mendulang Sukses di Pilkada DKI Jika Rujuk di Pilpres 2024
#AniesBaswedan #SandiagaUno
#Pilpres2024 #PilkadaDKI
 https://t.co/oiD6ALJRCD",Gorontalo
podcast_tyler,"sehingga diharapkan dapat mendukung capaian target 1,4 miliar pergerakan wisatawan nusantara pada tahun 2023.

Ikuti Berita Terkini : https://t.co/ATttSL1obf

#BerbagiCeritaTyler #BerbagiCeritaTylerUpdate
#Menparekraf #TiketPesawat #Tiket #Pesawat #TiketMurah #SandiagaUno","Nav City | Pekanbaru, Riau"
tempodotco,Duet Anies Baswedan dan Sandiaga Uno disebut memiliki potensi memenangkan Pilpres 2024 berdasarkan hasil survei Voxpol Center Research and Consulting. https://t.co/npRbPG4ECB,Indonesia
sanbanme__,"Ditulis di beberapa artikel yg ada di website. Pak Sandiaga Uno mengeluarkan uang sebanyak Rp 900 M untuk Pilgub dan Pilpresnya.

Kalo Rp900 M ini digunakan buat hidup foya2 1M perbulan.
1 th baru 12M.
Butuh berapa tahun lagi untuk menghabiskan uang itu?","DKI Jakarta, Indonesia"
WartaEkonomi,Anies Baswedan dan Sandiaga Uno Berpeluang CLBK Sebagai Pasangan Capres-Cawapres https://t.co/m4QS4HbJyj,"Jakarta, Indonesia"
BekicodeBkc,"@LenteraBangsaa_ Kenapa kalau orang banyak duit dikit aja perilakunya aneh2 dan arogan sih?

Kemaren ada tembak2an, sekarang pukul2an.

Hary Tanoe dan Sandiaga Uno yg tajir melilit aja ngga gitu2 amat kelakuannya perasaan.",Near Detective Kubi
suaradotcom,"Penelitian ini juga mengungkap bahwa pasangan Anies Baswedan dan Sandiaga Uno berpotensi kembali diduetkan dalam Pilpres 2024.

https://t.co/SfXwocsqhT",Jakarta Capital Region
indozonemedia,"Menparkraf Sandiaga Uno mengatakan, harpitnas alias hari kejepit nasional didorong bisa menyelamatkan industri perhotelan Indonesia.

https://t.co/VKAfDdp6zR",Jakarta
Harian_Jogja,Sandiaga Uno Desak Harpitnas Jadi Libur Nasional https://t.co/WIBTBdIFmQ #beritajogja #jogja #jogjaistimewa https://t.co/l8bj8C46Np,"Yogyakarta, Indonesia"
Philosepi,@RianEkkyP Temenan ama sandiaga uno ya bg?,"Pinterville, France"
tempo_english,Sandiaga Uno Eyes to Provide Affordable Flight Tickets in All Provinces https://t.co/9t7Jb4fgty #TempoEnglish,"Jakarta, Indonesia"
KompasTV,Anies Baswedan dan Sandiaga Uno Disebut Berpotensi Duet Kembali di Pemilu 2024 https://t.co/OjxqILX5lB,Indonesia
Bisniscom,"Menparekraf Sandiaga Uno desak harpitnas menjadi libur bersama, yang diharapkan bisa berlaku dua kali dalam tahun 2023 ini. https://t.co/qmY5K1aDfb","Jakarta, Indonesia"
KompasTV,"Survei Litbang Kompas untuk Cawapres; Sandiaga Uno Teratas, Disusul Ridwan Kamil dan Anies  Baswedan https://t.co/FJzQr0EQrr",Indonesia
AyaniMel,Anies-sandiaga uno https://t.co/xBbI9OpQjy,
fajaronline,"Momen Pertemuan Anies dengan Sandiaga Uno di Milad ke-42 BKMT, Pertama Kali Usai Isu Utang di Pilgub DKI Terbongkar https://t.co/XulnBiCpl7 #AniesBaswedan #bkmt #SandiagaUno #UtangRp50M","Jakarta, Indonesia"
Kutang2tang,@edo_rosyada @Mdy_Asmara1701 Yg sama sandiagauno mana itu sgt terasa disturbing banger...  Wahahaha,Penjaga NKRI Garis Keras
tempodotco,Survei Voxpol Ungkap Duet Anies Baswedan - Sandiaga Uno Berpotensi Menangkan Pilpres 2024 https://t.co/Vmpwvj7e5j #TempoNasional,Indonesia
Disuruh_Iben,Prabowo Subianto:  PPP Sebut Pembicaraan Soal Sandiaga Uno antara Mardiono dan Prabowo Subianto Masih Disiapkan - Nasional Tempo https://t.co/JOlFSnS8qw #IndonesiaKuat #BangkitBersama,Pulau Impian
medan_asyik123,Menparekreaf Sandiaga Uno laporkan persiapan F1 Powerboat Danau Toba berjalan baik dan optimal https://t.co/Vo2UhJ1H3X,"Medan Kota, Indonesia"
Kabar_Tangsel,Cek Fakta: [SALAH] Sandiaga Uno Bongkar Sifat Buruk Anies https://t.co/U0WXRXSXFd via @kabar_tangsel,Tangerang Selatan
sansdormir,@otongkoil sandiaga uno,"Yogyakarta, Indonesia"
chrysantemomm,@worksfess cinta banget sama pak sandiaga uno 🥰,"from jakarta, with love"
kompasiana,"Kenapa PPP ""Ngebet"" Sandiaga Uno Gabung? https://t.co/Zz5PFQaCmb",Indonesia
voidotid,Voxpol menilai pasangan Anies Baswedan-Sandiaga Uno berpotensi diduetkan untuk Pemilu 2024. https://t.co/Z0cPKsnPlF,"DKI Jakarta, Indonesia"
Tiantz,"https://t.co/5JTDQnq05t
#PERSIB 
#bobotoh 
#Putin 
#Liga1 
#aremania 
Raffi Nagita PPP Sandiaga Uno",Jakarte
FatihGaleh,"@BosPurwa @prabowo @Gerindra Pengamat Sandiaga Uno dan gerindra putus asa lihat anies melejit sendiri.

#GerindraRasis 
#GerindraRasis https://t.co/WpAcVOR19E","Bandung, Jawa Barat"
liputan6dotcom,Alasan Menparekraf Sandiaga Uno Indonesia Bisa Antisipasi Resesi Global 2023 https://t.co/jUPtFW0MoP,INDONESIA
Faktorutama,"Mantap, Demi 1,4 Miliar Pergerakan Wisnus Menparekraf Sandiaga Uno Upayakan Tiket Pesawat Murah di Seluruh Indonesia - https://t.co/SWe4zRUfCx",
kompascom,"Dalam kaitannya dengan potensi resesi dunia 2023, Menparekraf Sandiaga Uno mengatakan, Indonesia masih dalam posisi yang kuat dan baik.

Namun, Sandiaga mewanti-wanti untuk tetap waspada adanya potensi pasar ekspor yang bakal melemah. &lt; #Money #SandiagaUno
https://t.co/Lcb6gP6qHI",Jakarta
jpnncom,"Soal Isu Berlabuh ke PPP-Capres, Sandiaga Uno Beri Jawaban Menohok #sandiagauno https://t.co/DR0YE4t8Nh",Indonesia
OkeBaliNews,"Sandiaga Uno Upayakan Harga Tiket Pesawat Murah Berlaku di Seluruh Provinsi di Indonesia Demi Target 1,4 Miliar di tahun 2023 - https://t.co/HIwcl4yxRP https://t.co/tncGUy81HF","Bali, Indonesia"
GuysSandi,"Penjualan meningkat berkat Endorse Mas Menteri 👏

#sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif  #Indonesia #Twitter #viral #Trending #zonauang  #HUTBCA66 The Strokes #mentoring #business  #markets YOUR TYPE GAME Done All Rules https://t.co/C47T1Mog8V",
ColomaduKRA,"#Sandiaga Uno Minta Pengelola Jembatan Kaca Gunung Bromo Pastikan Keamanan Seusai Khofifah Terpeleset - https://t.co/uiWxT91JrS 
#Colomadu #Karanganyar 
https://t.co/z5CYOylgHm",
dikkambong_,"Saya titip ekonomi harus kita terus genjot. Ekonomi harus semakin lebih baik,"" ujar Sandiaga Uno melalui pengeras suara kepada simpatisan dan kader Partai Gerindra di lokasi.
#KitaGerindra #IkutPakde Prabowo Subianto",
GondangrejoKRA,"#Sandiaga Uno Minta Pengelola Jembatan Kaca Gunung Bromo Pastikan Keamanan Seusai Khofifah Terpeleset - https://t.co/lHJ4hQbMSy 
#Gondangrejo #Karanganyar
https://t.co/8WUWLsRyZp",
Prambors,"Sandiaga Uno Desak Harpitnas jadi Hari Libur Cuti Bersama
 
#PramborsNews 
https://t.co/4HCzOknAsx",Indonesia
RiauChannelcom,Menparekraf Sandiaga Uno: Persiapan F1PowerBoat Danau Toba Berjalan Optimal https://t.co/DFcPqezVLK,Pekanbaru
